compound_key_inchikey,chembl_id,drug_name,smiles,smiles_stripped,inchikey_stripped,phase,status,source,gene_symbol,ensg_id,pathway_id,pathway_name,mechanismOfAction,disease_id,disease_name,pathway_url,is_known_aml_drug
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
HWXVIOGONBBTBY-ONEGZZNKSA-N,CHEMBL2035187,PACRITINIB,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,HWXVIOGONBBTBY-ONEGZZNKSA-N,4.0,,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
WINHZLLDWRZWRT-ATVHPVEESA-N,CHEMBL535,SUNITINIB,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,4.0,Completed,protein,FLT3,,,,,EFO_0000681,renal cell carcinoma,,False
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3813873,PEXIDARTINIB,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_0000616,neoplasm,,False
JOOXLOJCABQBSG-UHFFFAOYSA-N,CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,JOOXLOJCABQBSG-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_0002430,primary myelofibrosis,,False
BAHHBHSHSRTKNK-BJILWQEISA-N,CHEMBL5095049,PACRITINIB CITRATE,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1.O=C(O)CC(O)(CC(=O)O)C(=O)O,BAHHBHSHSRTKNK-BJILWQEISA-N,4.0,,protein,FLT3,,,,,EFO_0002430,primary myelofibrosis,,False
LBWFXVZLPYTWQI-IPOVEDGCSA-N,CHEMBL1567,SUNITINIB MALATE,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,LBWFXVZLPYTWQI-IPOVEDGCSA-N,4.0,,protein,FLT3,,,,,EFO_0000681,renal cell carcinoma,,False
JGWRKYUXBBNENE-UHFFFAOYSA-N,CHEMBL3989973,PEXIDARTINIB HYDROCHLORIDE,Cl.FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,FC(F)(F)c1ccc(CNc2ccc(Cc3c[nH]c4ncc(Cl)cc34)cn2)cn1,JGWRKYUXBBNENE-UHFFFAOYSA-N,4.0,,protein,FLT3,,,,,EFO_1000562,Tenosynovial Giant Cell Tumor,,False
MPVGZUGXCQEXTM-UHFFFAOYSA-N,CHEMBL223360,LINIFANIB,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,MPVGZUGXCQEXTM-UHFFFAOYSA-N,3.0,Terminated,protein,FLT3,,,,,EFO_0000182,hepatocellular carcinoma,,False
UIARLYUEJFELEN-LROUJFHJSA-N,CHEMBL603469,LESTAURTINIB,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,UIARLYUEJFELEN-LROUJFHJSA-N,3.0,"Active, not recruiting",protein,FLT3,,,,,EFO_0000220,acute lymphoblastic leukemia,,False
