drug_name,chembl_id,smiles,source_entity_type,source_entity_id,source_entity_name,phase,status,disease_id,disease_name,mechanismOfAction,ensg_id,pathway_url,canonical_smiles,inchikey,parent_smiles,parent_inchikey,stereochemistry_flag,salt_form_flag,is_known_aml_drug,dedup_key
REGORAFENIB,CHEMBL1946170,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,protein,RAF1,RAF1,4.0,,EFO_0000616,neoplasm,,,,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)ccn1,FNHKPVJBJVTLMP-UHFFFAOYSA-N,0.0,0.0,False,FNHKPVJBJVTLMP-UHFFFAOYSA-N
NAPORAFENIB,CHEMBL4583691,Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,protein,RAF1,RAF1,3.0,Recruiting,EFO_0000756,melanoma,,,,Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,UEPXBTCUIIGYCY-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccnc(C(F)(F)F)c2)cc1-c1cc(OCCO)nc(N2CCOCC2)c1,UEPXBTCUIIGYCY-UHFFFAOYSA-N,0.0,0.0,False,UEPXBTCUIIGYCY-UHFFFAOYSA-N
TOVORAFENIB,CHEMBL3348923,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,protein,RAF1,RAF1,3.0,Recruiting,MONDO_0021637,low grade glioma,,,,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,VWMJHAFYPMOMGF-ZCFIWIBFSA-N,C[C@@H](NC(=O)c1ncnc(N)c1Cl)c1ncc(C(=O)Nc2cc(C(F)(F)F)c(Cl)cn2)s1,VWMJHAFYPMOMGF-ZCFIWIBFSA-N,1.0,0.0,False,VWMJHAFYPMOMGF-ZCFIWIBFSA-N
BELVARAFENIB,CHEMBL3977543,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,protein,RAF1,RAF1,2.0,Recruiting,EFO_0000616,neoplasm,,,,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,KVCQTKNUUQOELD-UHFFFAOYSA-N,Cc1ccc2c(Nc3cccc(Cl)c3F)nccc2c1NC(=O)c1csc2c(N)ncnc12,KVCQTKNUUQOELD-UHFFFAOYSA-N,0.0,0.0,False,KVCQTKNUUQOELD-UHFFFAOYSA-N
ARQ-736,CHEMBL5314407,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)([O-])[O-])c5)nc5occn45)n3)C2)n1.[Na+].[Na+],protein,RAF1,RAF1,1.0,Completed,EFO_0000616,neoplasm,,,,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)([O-])[O-])c5)nc5occn45)n3)C2)n1.[Na+].[Na+],HXINDCTZKGGRDE-JPKZNVRTSA-L,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)([O-])[O-])c5)nc5occn45)n3)C2)n1,GBXJAPBXPROFPY-GOSISDBHSA-L,1.0,1.0,False,GBXJAPBXPROFPY-GOSISDBHSA-L
ARQ-736 FREE ACID,CHEMBL5316167,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)(O)O)c5)nc5occn45)n3)C2)n1,protein,RAF1,RAF1,1.0,Completed,EFO_0000616,neoplasm,,,,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)(O)O)c5)nc5occn45)n3)C2)n1,GBXJAPBXPROFPY-GOSISDBHSA-N,Cn1ccc(S(=O)(=O)N2CCC[C@@H](Nc3nccc(-c4c(-c5cccc(OCOP(=O)(O)O)c5)nc5occn45)n3)C2)n1,GBXJAPBXPROFPY-GOSISDBHSA-N,1.0,0.0,False,GBXJAPBXPROFPY-GOSISDBHSA-N
XL-281,CHEMBL3545027,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,protein,RAF1,RAF1,1.0,Completed,EFO_0000641,papillary thyroid carcinoma,,,,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,MMNNTJYFHUDSKL-UHFFFAOYSA-N,COC(=O)Nc1nc2cc(C3(O)c4ccccc4C(=O)N3c3cc(Cl)ccc3C)ccc2[nH]1,MMNNTJYFHUDSKL-UHFFFAOYSA-N,0.0,0.0,False,MMNNTJYFHUDSKL-UHFFFAOYSA-N
LY-3009120,CHEMBL3577124,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,protein,RAF1,RAF1,1.0,Terminated,EFO_0000756,melanoma,,,,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,HHCBMISMPSAZBF-UHFFFAOYSA-N,CNc1ncc2cc(-c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C)c(C)nc2n1,HHCBMISMPSAZBF-UHFFFAOYSA-N,0.0,0.0,False,HHCBMISMPSAZBF-UHFFFAOYSA-N
MASITINIB,CHEMBL1908391,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,protein,PDGFRB,PDGFRB,4.0,,EFO_0000616,neoplasm,,,,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,WJEOLQLKVOPQFV-UHFFFAOYSA-N,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1,WJEOLQLKVOPQFV-UHFFFAOYSA-N,0.0,0.0,False,WJEOLQLKVOPQFV-UHFFFAOYSA-N
SUNITINIB,CHEMBL535,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,protein,PDGFRB,PDGFRB,4.0,Terminated,EFO_0000681,renal cell carcinoma,,,,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,WINHZLLDWRZWRT-ATVHPVEESA-N,1.0,0.0,False,WINHZLLDWRZWRT-ATVHPVEESA-N
