compound_name,Morphology score,Infection rate (%),Inhibition of cytopathicity (%),naive_composite,naive_rank
GC376 sodium,,,13.931999999999999,0.6667511403953371,1.0
PF-02545920,0.927244421908229,8.0,14.008000000000001,0.54371731683843,2.0
calpeptin,0.814524615295161,12.5,15.106,0.5134815895084522,3.0
elesclomol,0.879489843485334,19.5,15.624,0.5127970658041385,4.0
spiperone,0.762605605424356,22.0,19.04,0.5033949505109451,5.0
CYM-50358,0.717049052463296,7.5,13.776000000000002,0.49558190878801556,6.0
VU0364739,0.765898371641526,26.0,18.098,0.4865846717673313,7.0
NPS-2143,0.702745665030754,9.5,12.774,0.47980652181581934,8.0
Endoxifen HCl,0.817044432917785,26.0,14.581999999999999,0.47348150245149645,9.0
amodiaquine,0.839130004610557,17.5,10.325999999999999,0.4717751383751734,10.0
sulforaphane,0.923952184960742,6.5,2.9480000000000004,0.46920930739602623,11.0
mibefradil,0.789811449999892,17.5,11.278,0.4672452707836476,12.0
ICI-199441,0.79286152219196,21.5,10.356,0.45052051221007994,13.0
MCOPPB,0.620223704930735,22.0,15.988,0.44948544377371324,14.0
ditiocarb-sodium-trihydrate,0.761368651652135,11.0,4.9799999999999995,0.4341928483434217,15.0
PA-452,,,2.868,0.43309680689305624,16.0
prenylamine,0.878248074456924,19.5,4.108,0.43144765271445945,17.0
tetrandrine,0.509405865603792,12.0,12.651999999999997,0.4280873002792492,18.0
CYM-5442,0.847231217852132,12.0,1.476,0.4263479974547361,19.0
afimoxifene,0.800520182027494,27.5,8.312,0.42148250546903965,20.0
bemotrizinol,,,2.1233333333333335,0.4173706144055866,21.0
L-701324,,,1.6666666666666667,0.4077265303823845,22.0
droloxifene,0.730109210455818,24.0,7.266,0.4076471694659001,23.0
TRICHLORMETHINE HYDROCHLORIDE,,,1.4866666666666666,0.4039252125922172,24.0
Shikonin,,,1.462,0.4034042912654165,25.0
ELN-441958,0.759622393693318,29.5,7.806,0.4031422832307466,26.0
gallium-triquinolin-8-olate,0.774576989603484,16.5,1.8900000000000001,0.400421511930623,27.0
homoharringtonine,0.8373607031287,23.0,2.152,0.3988041998995026,28.0
BJ1899285,,,1.106,0.3958861294137524,29.0
PD-102807,0.729296695567027,28.5,7.228,0.3948995511078814,30.0
L-733060,0.777147864275323,16.0,0.8139999999999997,0.39479862683727124,31.0
thiomersal,,,1.0066666666666666,0.3937883651517712,32.0
cinacalcet,0.845371702025965,20.0,-0.06399999999999997,0.39322580612539637,33.0
MONENSIN SODIUM,0.556065867849195,39.0,15.939999999999998,0.38808862075661765,34.0
serdemetan,0.932795890665558,37.5,3.12,0.38773464537514085,35.0
acetarsol,,,0.7066666666666667,0.3874528355014924,36.0
nitarsone,,,0.66,0.38646730866700457,37.0
PSB-603,,,0.618,0.3855803345159655,38.0
suloctidil,0.833940290322619,21.5,-0.21800000000000003,0.3854400591284774,39.0
pimavanserin,0.708985910318382,23.0,4.2219999999999995,0.38414077350159354,40.0
viomycin,,,0.5166666666666667,0.38344033338964917,41.0
rimcazole,0.62284506186464,19.5,5.494,0.38304073796757065,42.0
disulfiram,0.547813098626465,23.0,8.948,0.3807050160159144,43.0
masitinib,0.756817534745104,43.0,9.925999999999998,0.3805419711526529,44.0
Remdesivir,0.761440965219488,26.0,2.5279999999999996,0.37596491139528304,45.0
valspodar,,,0.1299999999999999,0.37527453961817875,46.0
PRT062607,0.581647690888349,17.5,4.912,0.3750262524174002,47.0
imatinib,0.73754370181251,37.0,7.343999999999999,0.3743702001804868,48.0
Comp 35,,,0.03400000000000001,0.3732471701300895,49.0
thiram,,,-0.043333333333333,0.37161401137579547,50.0
TH001579,,,-0.05,0.3714732218280115,51.0
prochlorperazine,0.741559435696641,27.5,2.938,0.3702250610772648,52.0
MECHLORETHAMINE,,,-0.12666666666666662,0.36985414202849587,53.0
LY2608204,0.766782325150287,17.0,-2.074,0.36937580297023875,54.0
NEOMYCIN TRISULFATE,,,-0.23800000000000004,0.36750295658050347,55.0
fingolimod,0.717175399020158,26.5,2.544,0.36463070369536904,56.0
NOV-002,,,-0.45999999999999996,0.3628146646392972,57.0
piperaquine-phosphate,,,-0.5800000000000001,0.36028045277918563,58.0
MG-132,0.51390306656713,66.0,23.802,0.3600606495048062,59.0
flumatinib,0.306036160182898,25.5,14.698000000000002,0.3592908828397778,60.0
AMG-548,0.653494176529938,35.0,6.946000000000001,0.35789213952761156,61.0
IT1t,0.70898230160396,35.0,4.818,0.3555485949571951,62.0
Ro-48-8071,0.727701747499509,33.5,3.628,0.3555330084114985,63.0
pepstatin,,,-0.8100000000000002,0.35542321338063865,64.0
thiethylperazine,0.72165786335514,29.5,2.2059999999999995,0.3550754429559933,65.0
clemastine,0.676677364506731,26.5,2.2399999999999998,0.3532679738009213,66.0
phenylmercuric-acetate,,,-1.0133333333333334,0.3511291321732275,67.0
ARQ-092,0.702396936278263,29.5,1.4780000000000002,0.34556435952646386,68.0
thaliblastine,0.442845555018682,30.5,10.236,0.34537551225109503,69.0
UNC0642,0.243323578294661,25.5,14.410000000000002,0.342981804620548,70.0
nelfinavir,0.722492390068189,47.5,7.433999999999999,0.3428875519411576,71.0
dynole-34-2,0.659268009145253,35.5,4.568,0.3411010328568714,72.0
pyrintegrin,0.709874209822425,60.5,12.489999999999998,0.340086451050898,73.0
lonafarnib,0.736178338953795,43.5,5.006,0.339841401364488,74.0
lindane,,,-1.5599999999999998,0.3395843892549418,75.0
UNC0638,0.296710578640456,22.5,10.68,0.3370792436717212,76.0
CCT-031374,0.645546411289721,35.0,3.732,0.3334572927644548,77.0
BNTX,0.7321658636442,23.5,-3.614,0.3328921429763236,78.0
BETP,0.641632284982186,33.5,3.004,0.3315395391331103,79.0
AP1903,,,-1.9966666666666668,0.33036267387509155,80.0
fendiline,0.770574861074767,44.0,1.8880000000000003,0.3243594052184078,81.0
haloprogin,0.570351120933543,32.0,3.464,0.3226430038780039,82.0
VE-822,0.565244466394747,52.0,10.908,0.31923711233876123,83.0
delivert,,,-2.54,0.31888832573069775,84.0
cot-inhibitor-2,0.683069614001061,40.5,2.466,0.3180632541265011,85.0
asenapine,0.669929360396992,41.0,1.738,0.30857992828002456,86.0
zolantidine,0.670116646101943,44.0,2.87,0.30839454646174064,87.0
BMS-191011,0.593001447431712,39.5,3.4199999999999995,0.30699968473534184,88.0
nemonapride,0.641863217985434,36.5,0.528,0.30596566281386756,89.0
GANT-61,0.576381159005557,42.0,4.706,0.3054368675763688,90.0
propiverine,0.67657574805959,41.0,0.95,0.30454642023710754,91.0
crizotinib-(S),0.601859823680091,61.0,10.806999999999999,0.30227447719375916,92.0
P22077,0.533692043140012,38.5,4.166,0.30147668156639834,93.0
URMC-099,0.839581088449167,61.0,2.482,0.29780774528093973,94.0
GW-803430,0.519528780484698,53.0,9.606,0.2969285134717961,95.0
roxarsone,,,-3.6766666666666663,0.29488370783353046,96.0
BS-181,0.714201385082756,41.0,-2.402,0.2895186818171805,97.0
PIK-293,0.372563376047334,45.0,10.193999999999999,0.289456813970907,98.0
KU-60019,0.61788549637758,60.0,7.790000000000001,0.2874181848612272,99.0
amlodipine,0.697116805352426,47.0,0.046,0.28646716151891455,100.0
NU-6027,0.620863566241312,54.5,5.332,0.28582067588261967,101.0
GNF-5837,0.567063041038564,51.5,5.704,0.28438394122861327,102.0
revaprazan,0.590059585172956,42.5,1.45,0.2842652345849251,103.0
balicatib,0.589597726272754,46.0,2.7960000000000003,0.28407234922329055,104.0
BMS-566419,0.572212318149955,55.0,6.536,0.28185060392330774,105.0
duloxetine,0.746942238487353,47.0,-2.246,0.28167956224914514,106.0
3PO,0.622980845038406,49.5,2.554,0.280408383604134,107.0
"3,4-methylenedioxy-beta-nitrostyrene",0.579780786246899,41.0,0.3960000000000001,0.2786031669266256,108.0
NKP-1339,0.442600857686676,43.0,5.39,0.27705347376222944,109.0
STF-62247,0.455063346032893,61.0,11.225999999999999,0.2717936526792959,110.0
APY0201,0.260718749135409,50.5,13.022,0.2688664491671438,111.0
SAR405,0.550459870514301,70.0,10.122,0.26115681856494644,112.0
BAY-61-3606,0.45980611656816,27.0,-3.7159999999999997,0.2605860405697521,113.0
stemregenin-1,0.691828126811344,67.0,4.262,0.26029638414073747,114.0
AY-9944,0.523062819416293,49.0,1.61,0.2523746304207916,115.0
ebastine,0.605653722382288,50.0,-0.8260000000000002,0.2513028765185145,116.0
curcumin,0.548081850619879,61.5,5.482,0.2511761341848711,117.0
alantolactone,0.303982379454528,32.0,1.902,0.2509864541929545,118.0
harringtonine,0.554777646425763,49.0,0.28400000000000036,0.2502627881724105,119.0
R-96544,0.533266272036019,54.5,2.4840000000000004,0.24582347157886061,120.0
tecalcet,0.53364688851009,50.5,0.508,0.2429291048427622,121.0
A-7,0.525720837361825,52.0,0.9620000000000001,0.2402216454973217,122.0
UNC0646,0.45792534433648,52.0,2.8280000000000003,0.237918056243318,123.0
cycloheximide,0.392347140854964,69.0,11.267999999999999,0.23594885335950855,124.0
TA-01,0.580871998073007,59.5,1.252,0.2343310161543076,125.0
7-methoxytacrine,0.59662754911469,64.5,2.608,0.23380340027428706,126.0
PPY-A,0.629265180492162,72.0,4.304,0.2326832081937852,127.0
salmeterol,0.464571979993025,54.5,2.61,0.23106650569569168,128.0
tie2-kinase-inhibitor,0.618700650243767,72.5,4.484,0.23017830437965123,129.0
IKK-16,0.629079283265187,56.0,-2.386,0.22926261656787106,130.0
WAY-600,0.490988540196168,69.0,6.790000000000001,0.22688995074355958,131.0
PhiKan-083,0.514453838673604,56.0,0.9,0.22629037155537812,132.0
norfluoxetine,0.568370472209594,59.0,0.008000000000000007,0.22409301963702485,133.0
mepazine,0.537916843529759,60.5,1.508,0.22361858645925445,134.0
AMG900,0.201515221425159,19.5,-3.6659999999999995,0.2226085218747167,135.0
selamectin,0.601542684629916,71.0,3.3760000000000003,0.2225694933950203,136.0
ZLN005,0.556708607497982,64.0,1.9100000000000001,0.22116511492493232,137.0
difenpiramide,0.431219788802664,62.0,5.134,0.22074695713002723,138.0
chloroquine,0.553941756275188,57.5,-0.898,0.2185277226198673,139.0
desmethylclozapine,0.467229833017586,53.5,0.25199999999999995,0.21780493862741965,140.0
KW-2449,0.96370398362524,94.5,0.09,0.21770610897387963,141.0
carfilzomib,0.002727995444341,42.0,10.458,0.21528832905213044,142.0
NU-7441,0.352483726470613,68.0,9.136,0.21459472302194516,143.0
KG-5,0.111186846174778,36.0,4.484,0.21432756608746006,144.0
triflupromazine,0.464604249135482,56.0,0.33399999999999996,0.21095364324268875,145.0
P7C3,0.392480867395101,59.5,3.936,0.21032214320763912,146.0
mepacrine,0.480905914242084,55.5,-0.5139999999999997,0.21006270965904753,147.0
Y-134,0.427438476004738,74.5,8.129999999999999,0.20682309716161615,148.0
Y-26763,0.477465574406897,59.0,0.44000000000000006,0.20643205150678914,149.0
azaguanine-8,0.322247853217221,51.5,2.504,0.20610517762614874,150.0
BLU9931,0.56713648916965,67.0,0.27,0.20379842086462405,151.0
RU-SKI-43,0.447000621435623,58.5,0.6859999999999999,0.20259201564524978,152.0
merimepodib,0.446726211185918,62.5,2.2439999999999998,0.202568067468202,153.0
A12B4C3,0.496188381540056,69.5,3.336,0.2023936497913407,154.0
PD-156707,0.488528700372125,69.0,3.214,0.20115659351216977,155.0
AM-1241,0.612365052578848,72.5,0.446,0.20031007160313033,156.0
kenpaullone,0.532625905135824,69.5,1.782,0.1997523193790948,157.0
VU0240551,0.490257971007284,68.5,2.7180000000000004,0.19942494450289397,158.0
XL019,0.607024484024397,73.5,0.8299999999999998,0.19906476812011453,159.0
ML277,0.424153893678619,61.5,1.652,0.19599248135181693,160.0
LY2109761,0.686231842447033,80.0,0.316,0.1957250234519997,161.0
bifemelane,0.517233017012803,65.0,-0.18200000000000002,0.19471640301168244,162.0
promethazine,0.528302783934657,67.5,0.39199999999999996,0.1944474104028294,163.0
L-760735,0.430401290322651,58.0,-0.13600000000000004,0.1943914741278845,164.0
NS-3861,0.427472175295592,69.5,4.298,0.1935166964241776,165.0
butenafine,0.502308999395294,71.0,2.452,0.19346625625924163,166.0
BCX-1470,0.57778135348999,76.0,1.89,0.19303639452543045,167.0
GBR-13069,0.456169739755211,65.5,1.42,0.19072141751853441,168.0
GDC-0834,0.450192982891372,69.0,2.664,0.18855458258413746,169.0
mifepristone,0.44301247909896,65.5,1.2360000000000002,0.18642981452759888,170.0
eticlopride,0.425660380896067,63.5,0.954,0.1859575217366638,171.0
JW-642,-0.14249097139172,24.5,3.5799999999999996,0.18161389655408597,172.0
Y-29794,0.361329749917228,94.5,14.34,0.1808383210164339,173.0
SB-216641,0.282271721312203,53.0,0.6920000000000001,0.18014740948928135,174.0
PNU-89843,0.452311272137604,75.0,3.568,0.1790072313562989,175.0
CCT129202,0.470390031841055,74.5,2.6759999999999997,0.17821126340703053,176.0
clofazimine,0.421940365668923,64.0,0.13999999999999985,0.1780140976256683,177.0
