chembl_id,compound_name,canonical_smiles,max_phase,withdrawn_flag,therapeutic_flag,total_score,tier,n_matches,n_target,n_moa,n_pathway,n_specific,n_oxidative,top_node,top_match_type,top_match_score,matched_nodes,short_rationale,best_pchembl,median_pchembl,n_unique_targets_assayed,moa_text,moa_actions,score_node_ER_proteostasis,score_node_TRPML1/MCOLN1,score_node_autophagy_flux,score_node_lysosomal_trafficking_M6P,score_node_mTORC1,score_node_oxidative_stress,score_node_trehalose_AKT_TFEB
CHEMBL1241674,PP242,CC(C)n1nc(-c2cc3cc(O)ccc3[nH]2)c2c(N)ncnc21,,0.0,0.0,8.7,High,3,1,0,2,2,1,mTORC1,target,6.0,autophagy_flux; mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.68,6.21,208.0,,,0.0,0.0,2.2,0.0,6.0,0.5,0.0
CHEMBL413,SIROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,4.0,0.0,1.0,8.7,High,3,1,0,2,2,1,mTORC1,target,6.0,autophagy_flux; mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",10.3,8.27,25.0,FK506-binding protein 1A inhibitor,INHIBITOR,0.0,0.0,2.2,0.0,6.0,0.5,0.0
CHEMBL219410,ZOTAROLIMUS,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@H](n3cnnn3)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,3.0,0.0,0.0,8.2,High,2,1,0,1,2,0,mTORC1,target,6.0,autophagy_flux; mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.48,8.48,1.0,FK506-binding protein 1A inhibitor,INHIBITOR,0.0,0.0,2.2,0.0,6.0,0.0,0.0
CHEMBL269732,TACROLIMUS ANHYDROUS,C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC,4.0,0.0,1.0,8.2,High,2,1,0,1,2,0,mTORC1,target,6.0,autophagy_flux; mTORC1,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.7,7.83,14.0,,,0.0,0.0,2.2,0.0,6.0,0.0,0.0
CHEMBL1081312,PP-121,Nc1ncnc2c1c(-c1cnc3[nH]ccc3c1)nn2C1CCCC1,,0.0,0.0,6.5,High,2,1,0,1,1,1,mTORC1,target,6.0,mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.9,6.7,61.0,,,0.0,0.0,0.0,0.0,6.0,0.5,0.0
CHEMBL297453,EPIGALOCATECHIN GALLATE,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,3.0,0.0,0.0,6.5,High,2,1,0,1,1,1,mTORC1,target,6.0,mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.1,6.2,58.0,,,0.0,0.0,0.0,0.0,6.0,0.5,0.0
CHEMBL300389,CGP-60474,OCCCNc1cc(-c2ccnc(Nc3cccc(Cl)c3)n2)ccn1,,0.0,0.0,6.5,High,2,1,0,1,1,1,mTORC1,target,6.0,mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",8.52,7.27,13.0,,,0.0,0.0,0.0,0.0,6.0,0.5,0.0
CHEMBL3544966,GSK-1059615,O=C1NC(=O)/C(=C/c2ccc3nccc(-c4ccncc4)c3c2)S1,1.0,0.0,0.0,6.5,High,2,1,0,1,1,1,mTORC1,target,6.0,mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.4,7.24,24.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.5,0.0
CHEMBL3989870,BERZOSERTIB,CNCc1ccc(-c2cc(-c3nc(-c4ccc(S(=O)(=O)C(C)C)cc4)cnc3N)on2)cc1,2.0,0.0,0.0,6.5,High,2,1,0,1,1,1,mTORC1,target,6.0,mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",9.83,7.52,19.0,Serine-protein kinase ATR inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.5,0.0
CHEMBL521851,PICTILISIB,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,2.0,0.0,0.0,6.5,High,2,1,0,1,1,1,mTORC1,target,6.0,mTORC1; oxidative_stress,"Compound annotated with target MTOR, which links to MSD node mTORC1.",10.0,7.32,60.0,PI3-kinase class I inhibitor,INHIBITOR,0.0,0.0,0.0,0.0,6.0,0.5,0.0
