chembl_id,pref_name,n_moa_rows,moa_actions,moa_text,moa_target_chembl_ids,n_assay_rows,n_unique_assays,n_unique_targets_assayed,has_moa,has_assay,n_unique_targets,target_chembl_ids,target_descriptions,target_uniprot_ids,n_unique_pathways,pathways,has_target_info,has_pathway_info
CHEMBL395280,HUPERZINE A,1.0,INHIBITOR,Acetylcholinesterase inhibitor,CHEMBL220,61.0,57.0,7.0,True,True,7.0,CHEMBL1914; CHEMBL220; CHEMBL3198; CHEMBL3199; CHEMBL4078; CHEMBL4768; CHEMBL4780,Acetylcholinesterase; Cholinesterase,P22303; P37136; P23795; P04058; P06276; O42275; P21836,1.0,map00564  Glycerophospholipid metabolism,True,True
CHEMBL18794,BIS(ETHYL)SPERMINE,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL444236,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL158507,,1.0,,,,23.0,23.0,10.0,True,True,10.0,CHEMBL251; CHEMBL255; CHEMBL2605; CHEMBL302; CHEMBL318; CHEMBL3356; CHEMBL3397; CHEMBL340; CHEMBL3622; CHEMBL4975,Adenosine receptor A1; Adenosine receptor A2a; Adenosine receptor A2b; Cytochrome P450 2C9; Cytochrome P450 3A4; Cytochrome P450 2C19; Cytochrome P450 1A2,P25099; P30543; P29275; P29274; P46616; P28190; P11712; P08684; P33261; P05177,2.0,map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments;map00902  Monoterpenoid biosynthesis;map00903  Limonene degradation; map00071  Fatty acid degradation;map00140  Steroid hormone biosynthesis;map00232  Caffeine metabolism;map00380  Tryptophan metabolism;map00590  Arachidonic acid metabolism;map00591  Linoleic acid metabolism;map00627  Aminobenzoate degradation;map00830  Retinol metabolism;map00980  Metabolism of xenobiotics by cytochrome P450;map00982  Drug metabolism - cytochrome P450;map01100  Metabolic pathways;map01110  Biosynthesis of secondary metabolites;map01120  Microbial metabolism in diverse environments,True,True
CHEMBL171623,"1,4-BUTANEDIOL",1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL3306352,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL4303426,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL4303224,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL452887,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
CHEMBL575239,,1.0,,,,1.0,0.0,0.0,True,True,,,,,,,False,False
