chembl_id,compound_name,SMILES,prelim_mechanistic_score,num_linked_proteins,num_key_pathways,approval_phase_max,in_known_drugs,source_files
CHEMBL2105759,BARICITINIB,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,19.5,2,13,4.0,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions
CHEMBL1200699,DOXYCYCLINE,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O,15.5,4,1,4.0,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions
CHEMBL112,ACETAMINOPHEN,CC(=O)Nc1ccc(O)cc1,15.5,3,2,4.0,1,known_drugs;protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions
CHEMBL1201834,CANAKINUMAB,,15.5,1,4,4.0,1,known_drugs;pathway_drug_candidates;mechanism_of_actions
CHEMBL1789941,RUXOLITINIB,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,15.5,0,13,4.0,1,known_drugs;pathway_drug_candidates
CHEMBL1200694,SEVOFLURANE,FCOC(C(F)(F)F)C(F)(F)F,14.5,5,0,3.0,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions
CHEMBL1256,ISOFLURANE,FC(F)OC(Cl)C(F)(F)F,14.5,5,0,3.0,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions
CHEMBL221959,TOFACITINIB,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12,14.5,0,13,3.0,1,known_drugs;pathway_drug_candidates
CHEMBL1795071,RUXOLITINIB PHOSPHATE,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1.O=P(O)(O)O,14.0,0,13,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL2103743,TOFACITINIB CITRATE,C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12.O=C(O)CC(O)(CC(=O)O)C(=O)O,14.0,0,13,4.0,0,pathway_drug_candidates
CHEMBL3301607,FILGOTINIB,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,14.0,0,13,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL4298167,FILGOTINIB MALEATE,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1.O=C(O)/C=C\C(=O)O,14.0,0,13,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL5315119,UPADACITINIB HEMIHYDRATE,CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.CC[C@@H]1CN(C(=O)NCC(F)(F)F)C[C@@H]1c1cnc2cnc3[nH]ccc3n12.O,14.0,0,13,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL4435170,DEUCRAVACITINIB,[2H]C([2H])([2H])NC(=O)c1nnc(NC(=O)C2CC2)cc1Nc1cccc(-c2ncn(C)n2)c1OC,14.0,0,12,4.0,0,pathway_drug_candidates
CHEMBL3655081,ABROCITINIB,CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1,14.0,0,11,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL1287853,FEDRATINIB,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,14.0,0,9,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL2035187,PACRITINIB,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,14.0,0,9,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
CHEMBL4297216,FEDRATINIB HYDROCHLORIDE,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1.Cl.Cl.O,14.0,0,9,4.0,0,pathway_drug_candidates;mechanism_drug_candidate
