chembl_id,compound_name,SMILES,linked_proteins,num_linked_proteins,num_druggable_proteins,linked_pathways,num_linked_pathways,num_key_pathways,linked_MoAs,approval_phase_max,status_evidence,in_known_drugs,in_moa_kg,source_files,prelim_mechanistic_score,CYP3A4_p_value_0,CYP3A4_p_value_1,CYP3A4_CYP3A4_inhibition,CYP2D6_p_value_0,CYP2D6_p_value_1,CYP2D6_CYP2D6_inhibition,CYP2C9_p_value_0,CYP2C9_p_value_1,CYP2C9_CYP2C9_inhibition,CYP2C19_p_value_0,CYP2C19_p_value_1,CYP2C19_CYP2C19_inhibition,CYP1A2_p_value_0,CYP1A2_p_value_1,CYP1A2_CYP1A2_inhibition,hERG_p_value_0,hERG_p_value_1,hERG_hERG_inhibition,AMES_p_value_0,AMES_p_value_1,AMES_AMES_mutagenic,PGP_p_value_0,PGP_p_value_1,PGP_PGP_inhibition,Solubility_logS,Solubility_logS_lower_bound,Solubility_logS_upper_bound,Solubility_Capped_logS_lower_bound,Solubility_Capped_logS_upper_bound,Lipophilicity_logP,PAMPA_p_value_0,PAMPA_p_value_1,PAMPA_PAMPA_permeability,BBB_p_value_0,BBB_p_value_1,BBB_BBB_penetration,hERG_flag,CYP3A4_inhib_flag,CYP2D6_inhib_flag,CYP2C9_inhib_flag,CYP2C19_inhib_flag,CYP1A2_inhib_flag,PGP_inhib_flag,AMES_flag,poor_solubility_flag,good_solubility_bonus,high_logP_flag,low_logP_flag,good_logP_bonus,low_perm_flag,good_perm_bonus,bbb_penetrant_info,multi_cyp_inhib_count,cyp3a4_inhibitor_flag,DDI_flag,composite_score,confidence
CHEMBL1000,CETIRIZINE,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,,0,0,R-HSA-416476|G alpha (q) signalling events,1,0,,4.0,,1,0,known_drugs;pathway_drug_candidates,5.5,0.714,0.0559,0.0,0.356,0.215,0.5,0.785,0.0352,0.0,0.802,0.0245,0.0,0.887,0.00734,0.0,0.166,0.263,1,0.884,0.0157,0.0,0.998,0.0175,0,-2.9,-3.55,-2.24,-3.55,-2.24,3.148200000000002,0.732,0.0566,0.0,0.729,0.0156,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-0.5,L
CHEMBL1004,DOXYLAMINE,CN(C)CCOC(C)(c1ccccc1)c1ccccn1,,0,0,R-HSA-416476|G alpha (q) signalling events,1,0,,3.0,Completed,0,0,pathway_drug_candidates,3.0,0.448,0.13,0.0,0.114,0.446,1.0,0.879,0.00992,0.0,0.483,0.097,0.0,0.629,0.0336,0.0,0.685,0.0625,0,0.578,0.0533,0.0,0.898,0.00426,0,-2.4,-3.74,-1.07,-3.74,-1.07,2.923300000000001,0.295,0.302,0.5,0.0314,0.884,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.5,L
CHEMBL1005,REMIFENTANIL,CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,,0,0,R-HSA-375276|Peptide ligand-binding receptors;R-HSA-418594|G alpha (i) signalling events;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling,3,1,,3.0,Completed,0,0,pathway_drug_candidates,5.0,0.797,0.027,0.0,0.212,0.339,0.5,0.859,0.014,0.0,0.895,0.0109,0.0,0.188,0.221,0.5,0.0371,0.5,1,0.989,0.00179,0.0,0.119,0.218,1,-2.3,-3.51,-1.1,-3.51,-1.1,2.0002999999999997,0.0625,0.9,1.0,0.104,0.527,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,-2.0,L
CHEMBL101,PHENYLBUTAZONE,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,PTGS2,1,1,R-HSA-140180|COX reactions;R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,10,2,Cyclooxygenase inhibitor,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,10.0,0.59,0.0656,0.0,0.592,0.0957,0.0,0.0548,0.642,1.0,0.0307,0.819,1.0,0.0663,0.43,1.0,0.688,0.0539,0,0.56,0.0568,0.0,0.236,0.167,0,-4.38,-5.56,-3.19,-5.56,-3.19,3.7878000000000025,0.118,0.685,1.0,0.714,0.015,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,6.0,L
CHEMBL101253,VATALANIB,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,,0,0,R-HSA-1433557|Signaling by SCF-KIT;R-HSA-5673001|RAF/MAP kinase cascade;R-HSA-8866910|TFAP2 (AP-2) family regulates transcription of growth factors and their receptors,3,0,,3.0,Completed,0,0,pathway_drug_candidates,3.0,0.126,0.419,1.0,0.0523,0.556,1.0,0.0177,0.849,1.0,0.00349,0.956,1.0,0.0183,0.697,1.0,0.003,0.909,1,0.73,0.0332,0.0,0.127,0.215,1,-4.27,-4.98,-3.56,-4.98,-3.56,5.012600000000003,0.282,0.423,0.5,0.213,0.194,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,1.0,1.0,-12.5,L
CHEMBL1014,CANDESARTAN CILEXETIL,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,,0,0,R-HSA-375276|Peptide ligand-binding receptors;R-HSA-416476|G alpha (q) signalling events;R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis;R-HSA-8856828|Clathrin-mediated endocytosis,4,0,Type-1 angiotensin II receptor antagonist,4.0,,0,0,pathway_drug_candidates;mechanism_drug_candidate,4.0,0.134,0.412,1.0,0.855,0.0318,0.0,0.849,0.0136,0.0,0.847,0.018,0.0,0.3,0.145,0.0,0.455,0.129,0,0.977,0.00452,0.0,0.868,0.0362,0,-7.69,-9.06,-6.32,-9.06,-6.32,6.319100000000007,0.637,0.0744,0.0,0.229,0.149,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,-2.5,L
CHEMBL1016,CANDESARTAN,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,AGTR1,1,1,R-HSA-375276|Peptide ligand-binding receptors;R-HSA-416476|G alpha (q) signalling events;R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis;R-HSA-8856828|Clathrin-mediated endocytosis,4,0,Type-1 angiotensin II receptor antagonist,3.0,Unknown status,1,1,known_drugs;pathway_drug_candidates;mechanism_of_actions,6.5,0.647,0.0529,0.0,0.909,0.0157,0.0,0.673,0.0437,0.0,0.875,0.0143,0.0,0.331,0.118,0.0,0.676,0.0615,0,0.968,0.00376,0.0,0.855,0.00339,0,-6.17,-7.43,-4.91,-7.43,-4.91,4.028600000000002,0.947,0.00128,0.0,0.364,0.0458,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,L
CHEMBL1017,TELMISARTAN,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,AGTR1,1,1,R-HSA-375276|Peptide ligand-binding receptors;R-HSA-416476|G alpha (q) signalling events;R-HSA-8856825|Cargo recognition for clathrin-mediated endocytosis;R-HSA-8856828|Clathrin-mediated endocytosis,4,0,Type-1 angiotensin II receptor antagonist,4.0,,1,1,known_drugs;pathway_drug_candidates;mechanism_drug_candidate;mechanism_of_actions,7.5,0.784,0.0383,0.0,0.958,0.00594,0.0,0.841,0.0145,0.0,0.937,0.009,0.0,0.182,0.251,0.5,0.893,0.0193,0,0.985,0.000644,0.0,0.639,0.0321,0,-3.93,-4.69,-3.17,-4.69,-3.17,7.2644200000000065,0.477,0.14,0.0,0.321,0.0704,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,5.5,L
CHEMBL1020,TOLMETIN,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,PTGS2,1,1,R-HSA-140180|COX reactions;R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,10,2,,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates,10.0,0.769,0.0386,0.0,0.674,0.0735,0.0,0.795,0.0257,0.0,0.582,0.0715,0.0,0.307,0.142,0.0,0.544,0.101,0,0.8,0.0266,0.0,0.631,0.0631,0,-3.83,-4.87,-2.8,-4.87,-2.8,2.1916200000000003,0.806,0.0274,0.0,0.296,0.113,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,9.5,H
CHEMBL1021,NEPAFENAC,NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,PTGS2,1,1,R-HSA-140180|COX reactions;R-HSA-2142770|Synthesis of 15-eicosatetraenoic acid derivatives;R-HSA-2162123|Synthesis of Prostaglandins (PG) and Thromboxanes (TX);R-HSA-6783783|Interleukin-10 signaling;R-HSA-6785807|Interleukin-4 and Interleukin-13 signaling;R-HSA-73614|Nicotinamide salvaging;R-HSA-9018677|Biosynthesis of DHA-derived SPMs;R-HSA-9018679|Biosynthesis of EPA-derived SPMs;R-HSA-9025094|Biosynthesis of DPAn-3 SPMs;R-HSA-9027604|Biosynthesis of electrophilic Omega-3 PUFA oxo-derivatives,10,2,Cyclooxygenase inhibitor,4.0,,0,0,protein_drug_candidates;pathway_drug_candidates;mechanism_drug_candidate,10.0,0.623,0.065,0.0,0.44,0.171,0.0,0.363,0.148,0.0,0.0431,0.674,1.0,0.153,0.263,1.0,0.843,0.0278,0,0.215,0.144,0.0,0.788,0.0403,0,-3.68,-5.1,-2.27,-5.1,-2.27,1.5276,0.27,0.351,0.5,0.206,0.192,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,7.5,M
