smiles,p_value_0,p_value_1,CYP2D6_inhibition
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.356,0.215,0.5
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,0.114,0.446,1.0
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CCN(CCC(=O)OC)CC1,0.212,0.339,0.5
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,0.592,0.0957,0.0
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,0.0523,0.556,1.0
CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,0.855,0.0318,0.0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,0.909,0.0157,0.0
CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,0.958,0.00594,0.0
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,0.674,0.0735,0.0
NC(=O)Cc1cccc(C(=O)c2ccccc2)c1N,0.44,0.171,0.0
c1ccc2c(c1)OCC(C1=NCCN1)O2,0.0319,0.68,1.0
O=C([O-])Cc1ccccc1Nc1c(Cl)cccc1Cl.[Na+],0.966,0.0141,0.0
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]12,0.633,0.0958,0.0
C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,0.495,0.148,0.0
NCCCCCC(=O)O,0.827,0.0437,0.0
CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,0.66,0.0833,0.0
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,0.935,0.0143,0.0
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.114,0.453,1.0
COc1ccc2cc(CCC(C)=O)ccc2c1,0.362,0.207,0.5
O=C(O)CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0.459,0.171,0.0
c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,0.121,0.428,1.0
Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,0.647,0.0938,0.0
N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1,0.919,0.0192,0.0
Clc1ccc2nsnc2c1NC1=NCCN1,0.141,0.428,1.0
CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,0.953,0.00765,0.0
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.O=S(=O)(O)O,0.0913,0.488,1.0
