name,url,associated_proteins,associated_drugs
TWIK related potassium channel (TREK),,p(HGNC:KCNK10); p(HGNC:KCNK2),
Phase 4 - resting membrane potential,,p(HGNC:KCNK10); p(HGNC:KCNK18); p(HGNC:KCNK3); p(HGNC:KCNK9); p(HGNC:KCNK2),
Collagen degradation,,p(HGNC:MMP7); p(HGNC:MMP8); p(HGNC:MMP13); p(HGNC:MMP1),
Degradation of the extracellular matrix,,p(HGNC:MMP7); p(HGNC:MMP8); p(HGNC:MMP13); p(HGNC:MMP1); p(HGNC:PLG),
Activation of Matrix Metalloproteinases,,p(HGNC:MMP7); p(HGNC:MMP8); p(HGNC:MMP13); p(HGNC:MMP1); p(HGNC:PLG),
Basigin interactions,,p(HGNC:MMP1),
Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),,p(HGNC:SERPINC1); p(HGNC:MMP1); p(HGNC:PLG); p(HGNC:IL6),
Interleukin-4 and Interleukin-13 signaling,,p(HGNC:IL6R); p(HGNC:TNF); p(HGNC:PTGS2); p(HGNC:IL1B); p(HGNC:VEGFA); p(HGNC:OPRM1); p(HGNC:MMP1); p(HGNC:IL17A); p(HGNC:IL6); p(HGNC:JAK1); p(HGNC:JAK2); p(HGNC:TYK2); p(HGNC:FASLG),
Metabolism of Angiotensinogen to Angiotensins,,p(HGNC:ACE); p(HGNC:ACE2),
Platelet degranulation,,p(HGNC:VEGFA); p(HGNC:PLG),
